time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778618771.629,9068.638,0.0,0.0,0.0,0.0
1778618772.131,9069.140,0.0,0.0,0.0,0.0
1778618772.632,9069.641,0.0,0.0,0.0,0.0
1778618773.134,9070.143,0.0,0.0,0.0,0.0
1778618773.635,9070.644,0.0,0.0,0.0,0.0
1778618774.137,9071.146,0.0,0.0,0.0,0.0
1778618774.638,9071.647,0.0,0.0,0.0,0.0
1778618775.090,9072.099,0.0,0.0,0.0,0.0
1778618775.591,9072.600,0.0,0.0,0.0,0.0
1778618776.093,9073.102,0.0,0.0,0.0,0.0
1778618776.595,9073.604,0.0,0.0,0.0,0.0
1778618777.096,9074.105,0.0,0.0,0.0,0.0
1778618777.598,9074.607,0.0,0.0,0.0,0.0
1778618778.099,9075.108,0.0,0.0,0.0,0.0
1778618778.600,9075.610,0.0,0.0,0.0,0.0
1778618779.102,9076.111,0.0,0.0,0.0,0.0
1778618779.604,9076.613,0.0,0.0,0.0,0.0
1778618780.105,9077.114,0.0,0.0,0.0,0.0
1778618780.607,9077.616,0.0,0.0,0.0,0.0
1778618781.108,9078.117,0.0,0.0,0.0,0.0
1778618781.610,9078.619,0.0,0.0,0.0,0.0
1778618782.112,9079.121,0.0,0.0,0.0,0.0
1778618782.613,9079.622,0.0,0.0,0.0,0.0
1778618783.115,9080.124,0.0,0.0,0.0,0.0
1778618783.616,9080.625,0.0,0.0,0.0,0.0
1778618784.118,9081.127,0.0,0.0,0.0,0.0
1778618784.619,9081.628,0.0,0.0,0.0,0.0
1778618785.120,9082.130,0.0,0.0,0.0,0.0
1778618785.622,9082.631,0.0,0.0,0.0,0.0
1778618786.123,9083.132,0.0,0.0,0.0,0.0
1778618786.625,9083.634,0.0,0.0,0.0,0.0
1778618787.126,9084.136,0.0,0.0,0.0,0.0
1778618787.628,9084.637,0.0,0.0,0.0,0.0
1778618788.130,9085.139,0.0,0.0,0.0,0.0
1778618788.631,9085.640,0.0,0.0,0.0,0.0
1778618789.133,9086.142,0.0,0.0,0.0,0.0
1778618789.634,9086.643,0.0,0.0,0.0,0.0
1778618790.136,9087.145,0.0,0.0,0.0,0.0
1778618790.637,9087.646,0.0,0.0,0.0,0.0
1778618791.139,9088.148,0.0,0.0,0.0,0.0
1778618791.590,9088.599,0.0,0.0,0.0,0.0
1778618792.092,9089.101,0.0,0.0,0.0,0.0
1778618792.593,9089.602,0.0,0.0,0.0,0.0
1778618793.095,9090.104,0.0,0.0,0.0,0.0
1778618793.596,9090.605,0.0,0.0,0.0,0.0
1778618794.098,9091.107,0.0,0.0,0.0,0.0
1778618794.599,9091.608,0.0,0.0,0.0,0.0
1778618795.101,9092.110,0.0,0.0,0.0,0.0
1778618795.602,9092.611,0.0,0.0,0.0,0.0
1778618796.104,9093.113,0.0,0.0,0.0,0.0
1778618796.605,9093.614,0.0,0.0,0.0,0.0
1778618797.107,9094.116,0.0,0.0,0.0,0.0
1778618797.608,9094.617,0.0,0.0,0.0,0.0
1778618798.110,9095.119,0.0,0.0,0.0,0.0
1778618798.611,9095.620,0.0,0.0,0.0,0.0
1778618799.113,9096.122,0.0,0.0,0.0,0.0
1778618799.614,9096.623,0.0,0.0,0.0,0.0
1778618800.116,9097.125,0.0,0.0,0.0,0.0
1778618800.617,9097.627,0.0,0.0,0.0,0.0
1778618801.119,9098.128,0.0,0.0,0.0,0.0
1778618801.620,9098.630,0.0,0.0,0.0,0.0
1778618802.122,9099.131,0.0,0.0,0.0,0.0
1778618802.623,9099.633,0.0,0.0,0.0,0.0
1778618803.125,9100.134,0.0,0.0,0.0,0.0
1778618803.627,9100.636,0.0,0.0,0.0,0.0
1778618804.128,9101.137,0.0,0.0,0.0,0.0
1778618804.630,9101.639,0.0,0.0,0.0,0.0
1778618805.131,9102.140,0.0,0.0,0.0,0.0
1778618805.633,9102.642,0.0,0.0,0.0,0.0
1778618806.134,9103.143,0.0,0.0,0.0,0.0
1778618806.636,9103.645,0.0,0.0,0.0,0.0
1778618807.137,9104.146,0.0,0.0,0.0,0.0
1778618807.639,9104.648,0.0,0.0,0.0,0.0
1778618808.090,9105.099,0.0,0.0,0.0,0.0
1778618808.592,9105.601,0.0,0.0,0.0,0.0
1778618809.093,9106.102,0.0,0.0,0.0,0.0
1778618809.595,9106.604,0.0,0.0,0.0,0.0
1778618810.096,9107.105,0.0,0.0,0.0,0.0
1778618810.598,9107.607,0.0,0.0,0.0,0.0
1778618811.099,9108.108,0.0,0.0,0.0,0.0
1778618811.601,9108.610,0.0,0.0,0.0,0.0
1778618812.102,9109.112,0.0,0.0,0.0,0.0
1778618812.604,9109.613,0.0,0.0,0.0,0.0
1778618813.106,9110.115,0.0,0.0,0.0,0.0
1778618813.607,9110.616,0.0,0.0,0.0,0.0
1778618814.109,9111.118,0.0,0.0,0.0,0.0
1778618814.610,9111.619,0.0,0.0,0.0,0.0
1778618815.111,9112.121,0.0,0.0,0.0,0.0
1778618815.613,9112.622,0.0,0.0,0.0,0.0
1778618816.115,9113.124,0.0,0.0,0.0,0.0
1778618816.616,9113.625,0.0,0.0,0.0,0.0
1778618817.117,9114.127,0.0,0.0,0.0,0.0
1778618817.619,9114.628,0.0,0.0,0.0,0.0
1778618818.120,9115.129,0.0,0.0,0.0,0.0
1778618818.622,9115.631,0.0,0.0,0.0,0.0
1778618819.124,9116.133,0.0,0.0,0.0,0.0
1778618819.625,9116.634,0.0,0.0,0.0,0.0
1778618820.127,9117.136,0.0,0.0,0.0,0.0
1778618820.628,9117.637,0.0,0.0,0.0,0.0
1778618821.130,9118.139,0.0,0.0,0.0,0.0
1778618821.631,9118.640,0.0,0.0,0.0,0.0
1778618822.133,9119.142,0.0,0.0,0.0,0.0
1778618822.634,9119.643,0.0,0.0,0.0,0.0
1778618823.136,9120.145,0.0,0.0,0.0,0.0
1778618823.638,9120.647,0.0,0.0,0.0,0.0
1778618824.139,9121.148,0.0,0.0,0.0,0.0
1778618824.590,9121.599,0.0,0.0,0.0,0.0
1778618825.092,9122.101,0.0,0.0,0.0,0.0
1778618825.593,9122.603,0.0,0.0,0.0,0.0
1778618826.095,9123.104,0.0,0.0,0.0,0.0
1778618826.596,9123.605,0.0,0.0,0.0,0.0
1778618827.098,9124.107,0.0,0.0,0.0,0.0
1778618827.599,9124.608,0.0,0.0,0.0,0.0
1778618828.101,9125.110,0.0,0.0,0.0,0.0
1778618828.602,9125.612,0.0,0.0,0.0,0.0
1778618829.104,9126.113,0.0,0.0,0.0,0.0
1778618829.605,9126.615,0.0,0.0,0.0,0.0
1778618830.107,9127.116,0.0,0.0,0.0,0.0
1778618830.608,9127.617,0.0,0.0,0.0,0.0
1778618831.110,9128.119,0.0,0.0,0.0,0.0
1778618831.611,9128.620,0.0,0.0,0.0,0.0
1778618832.113,9129.122,0.0,0.0,0.0,0.0
1778618832.614,9129.623,0.0,0.0,0.0,0.0
1778618833.116,9130.125,0.0,0.0,0.0,0.0
1778618833.617,9130.627,0.0,0.0,0.0,0.0
1778618834.119,9131.128,0.0,0.0,0.0,0.0
1778618834.620,9131.630,0.0,0.0,0.0,0.0
1778618835.122,9132.131,0.0,0.0,0.0,0.0
1778618835.623,9132.633,0.0,0.0,0.0,0.0
1778618836.125,9133.134,0.0,0.0,0.0,0.0
1778618836.626,9133.636,0.0,0.0,0.0,0.0
1778618837.128,9134.137,0.0,0.0,0.0,0.0
1778618837.629,9134.639,0.0,0.0,0.0,0.0
1778618838.131,9135.140,0.0,0.0,0.0,0.0
1778618838.633,9135.642,0.0,0.0,0.0,0.0
1778618839.134,9136.143,0.0,0.0,0.0,0.0
1778618839.636,9136.645,0.0,0.0,0.0,0.0
1778618840.137,9137.146,0.0,0.0,0.0,0.0
1778618840.639,9137.648,0.0,0.0,0.0,0.0
1778618841.090,9138.099,0.0,0.0,0.0,0.0
1778618841.591,9138.600,0.0,0.0,0.0,0.0
1778618842.093,9139.102,0.0,0.0,0.0,0.0
1778618842.594,9139.604,0.0,0.0,0.0,0.0
1778618843.096,9140.105,0.0,0.0,0.0,0.0
1778618843.597,9140.606,0.0,0.0,0.0,0.0
1778618844.099,9141.108,0.0,0.0,0.0,0.0
1778618844.600,9141.609,0.0,0.0,0.0,0.0
1778618845.102,9142.111,0.0,0.0,0.0,0.0
1778618845.604,9142.613,0.0,0.0,0.0,0.0
1778618846.105,9143.114,0.0,0.0,0.0,0.0
1778618846.606,9143.615,0.0,0.0,0.0,0.0
1778618847.108,9144.117,0.0,0.0,0.0,0.0
1778618847.610,9144.619,0.0,0.0,0.0,0.0
1778618848.111,9145.120,0.0,0.0,0.0,0.0
1778618848.613,9145.622,0.0,0.0,0.0,0.0
1778618849.114,9146.123,0.0,0.0,0.0,0.0
1778618849.616,9146.625,0.0,0.0,0.0,0.0
1778618850.117,9147.126,0.0,0.0,0.0,0.0
1778618850.619,9147.628,0.0,0.0,0.0,0.0
1778618851.120,9148.129,0.0,0.0,0.0,0.0
1778618851.621,9148.631,0.0,0.0,0.0,0.0
1778618852.123,9149.132,0.0,0.0,0.0,0.0
1778618852.624,9149.633,0.0,0.0,0.0,0.0
1778618853.126,9150.135,0.0,0.0,0.0,0.0
1778618853.627,9150.636,0.0,0.0,0.0,0.0
1778618854.129,9151.138,0.0,0.0,0.0,0.0
1778618854.630,9151.639,0.0,0.0,0.0,0.0
1778618855.132,9152.141,0.0,0.0,0.0,0.0
1778618855.633,9152.642,0.0,0.0,0.0,0.0
1778618856.135,9153.144,0.0,0.0,0.0,0.0
1778618856.636,9153.645,0.0,0.0,0.0,0.0
1778618857.138,9154.147,0.0,0.0,0.0,0.0
1778618857.589,9154.598,0.0,0.0,0.0,0.0
1778618858.091,9155.100,0.0,0.0,0.0,0.0
1778618858.592,9155.601,0.0,0.0,0.0,0.0
1778618859.094,9156.103,0.0,0.0,0.0,0.0
1778618859.595,9156.604,0.0,0.0,0.0,0.0
1778618860.097,9157.106,0.0,0.0,0.0,0.0
1778618860.598,9157.607,0.0,0.0,0.0,0.0
1778618861.100,9158.109,0.0,0.0,0.0,0.0
1778618861.601,9158.610,0.0,0.0,0.0,0.0
1778618862.103,9159.112,0.0,0.0,0.0,0.0
1778618862.604,9159.613,0.0,0.0,0.0,0.0
1778618863.106,9160.115,0.0,0.0,0.0,0.0
1778618863.608,9160.617,0.0,0.0,0.0,0.0
1778618864.110,9161.119,0.0,0.0,0.0,0.0
1778618864.611,9161.620,0.0,0.0,0.0,0.0
1778618865.113,9162.122,0.0,0.0,0.0,0.0
1778618865.614,9162.623,0.0,0.0,0.0,0.0
1778618866.116,9163.125,0.0,0.0,0.0,0.0
1778618866.617,9163.626,0.0,0.0,0.0,0.0
1778618867.119,9164.128,0.0,0.0,0.0,0.0
1778618867.620,9164.629,0.0,0.0,0.0,0.0
1778618868.122,9165.131,0.0,0.0,0.0,0.0
1778618868.623,9165.632,0.0,0.0,0.0,0.0
1778618869.125,9166.134,0.0,0.0,0.0,0.0
1778618869.626,9166.635,0.0,0.0,0.0,0.0
1778618870.127,9167.137,0.0,0.0,0.0,0.0
1778618870.629,9167.638,0.0,0.0,0.0,0.0
1778618871.130,9168.140,0.0,0.0,0.0,0.0
1778618871.632,9168.641,0.0,0.0,0.0,0.0
1778618872.133,9169.143,0.0,0.0,0.0,0.0
1778618872.635,9169.644,0.0,0.0,0.0,0.0
1778618873.137,9170.146,0.0,0.0,0.0,0.0
1778618873.638,9170.647,0.0,0.0,0.0,0.0
1778618874.090,9171.099,0.0,0.0,0.0,0.0
1778618874.591,9171.600,0.0,0.0,0.0,0.0
1778618875.093,9172.102,0.0,0.0,0.0,0.0
1778618875.594,9172.603,0.0,0.0,0.0,0.0
1778618876.096,9173.105,0.0,0.0,0.0,0.0
1778618876.597,9173.606,0.0,0.0,0.0,0.0
1778618877.099,9174.108,0.0,0.0,0.0,0.0
1778618877.600,9174.609,0.0,0.0,0.0,0.0
1778618878.102,9175.111,0.0,0.0,0.0,0.0
1778618878.603,9175.612,0.0,0.0,0.0,0.0
1778618879.105,9176.114,0.0,0.0,0.0,0.0
1778618879.606,9176.615,0.0,0.0,0.0,0.0
1778618880.108,9177.117,0.0,0.0,0.0,0.0
1778618880.609,9177.618,0.0,0.0,0.0,0.0
1778618881.111,9178.120,0.0,0.0,0.0,0.0
1778618881.612,9178.621,0.0,0.0,0.0,0.0
1778618882.114,9179.123,0.0,0.0,0.0,0.0
1778618882.615,9179.624,0.0,0.0,0.0,0.0
1778618883.117,9180.126,0.0,0.0,0.0,0.0
1778618883.618,9180.627,0.0,0.0,0.0,0.0
1778618884.119,9181.129,0.0,0.0,0.0,0.0
1778618884.621,9181.630,0.0,0.0,0.0,0.0
1778618885.122,9182.131,0.0,0.0,0.0,0.0
1778618885.624,9182.633,0.0,0.0,0.0,0.0
1778618886.125,9183.135,0.0,0.0,0.0,0.0
1778618886.627,9183.636,0.0,0.0,0.0,0.0
1778618887.128,9184.138,0.0,0.0,0.0,0.0
1778618887.630,9184.639,0.0,0.0,0.0,0.0
1778618888.131,9185.140,0.0,0.0,0.0,0.0
1778618888.633,9185.642,0.0,0.0,0.0,0.0
1778618889.134,9186.143,0.0,0.0,0.0,0.0
1778618889.636,9186.645,0.0,0.0,0.0,0.0
1778618890.137,9187.146,0.0,0.0,0.0,0.0
1778618890.639,9187.648,0.0,0.0,0.0,0.0
1778618891.090,9188.099,0.0,0.0,0.0,0.0
1778618891.592,9188.601,0.0,0.0,0.0,0.0
1778618892.093,9189.102,0.0,0.0,0.0,0.0
1778618892.595,9189.604,0.0,0.0,0.0,0.0
1778618893.097,9190.106,0.0,0.0,0.0,0.0
1778618893.598,9190.607,0.0,0.0,0.0,0.0
1778618894.099,9191.109,0.0,0.0,0.0,0.0
1778618894.601,9191.610,0.0,0.0,0.0,0.0
1778618895.102,9192.112,0.0,0.0,0.0,0.0
1778618895.604,9192.613,0.0,0.0,0.0,0.0
1778618896.105,9193.115,0.0,0.0,0.0,0.0
1778618896.607,9193.616,0.0,0.0,0.0,0.0
1778618897.109,9194.118,0.0,0.0,0.0,0.0
1778618897.610,9194.619,0.0,0.0,0.0,0.0
1778618898.112,9195.121,0.0,0.0,0.0,0.0
1778618898.613,9195.622,0.0,0.0,0.0,0.0
1778618899.115,9196.124,0.0,0.0,0.0,0.0
1778618899.616,9196.625,0.0,0.0,0.0,0.0
1778618900.118,9197.127,0.0,0.0,0.0,0.0
1778618900.619,9197.629,0.0,0.0,0.0,0.0
1778618901.121,9198.130,0.0,0.0,0.0,0.0
1778618901.623,9198.632,0.0,0.0,0.0,0.0
1778618902.124,9199.133,0.0,0.0,0.0,0.0
1778618902.626,9199.635,0.0,0.0,0.0,0.0
1778618903.127,9200.136,0.0,0.0,0.0,0.0
1778618903.629,9200.638,0.0,0.0,0.0,0.0
1778618904.130,9201.139,0.0,0.0,0.0,0.0
1778618904.632,9201.641,0.0,0.0,0.0,0.0
1778618905.133,9202.142,0.0,0.0,0.0,0.0
1778618905.635,9202.644,0.0,0.0,0.0,0.0
1778618906.136,9203.145,0.0,0.0,0.0,0.0
1778618906.638,9203.647,0.0,0.0,0.0,0.0
